name,category,geometry
Unnamed Location,mice,POINT (1.5226486 42.5070592)
Unnamed Location,mice,POINT (1.5227186 42.5068822)
Unnamed Location,mice,POINT (1.5223321 42.5069197)
Unnamed Location,mice,POINT (1.52263 42.5071031)
Unnamed Location,mice,POINT (1.5223906 42.5067985)
Unnamed Location,mice,POINT (1.5227228 42.5068834)
Unnamed Location,mice,POINT (1.5224356 42.5069834)
Unnamed Location,mice,"POLYGON ((1.5223321 42.5069197, 1.5223906 42.5067985, 1.5227186 42.5068822, 1.5227228 42.5068834, 1.5226486 42.5070592, 1.52263 42.5071031, 1.5224356 42.5069834, 1.5223321 42.5069197))"
Pavelló del Prat Gran,mice,POINT (1.5393733 42.5098869)
Les Fontetes,mice,POINT (1.5145075 42.5466634)
Centre de Congressos d’Andorra la Vella,mice,POINT (1.5225097 42.5069175)
Parking Comunal de l'Aldosa,mice,POINT (1.5236629 42.5435671)
Les Fontetes,mice,POINT (1.5145288 42.5468042)
Unnamed Location,mice,POINT (1.5369564 42.5088269)
Unnamed Location,mice,POINT (1.489829 42.4825388)
parquing Comú de La Massana,mice,POINT (1.5154836 42.5448509)
Unnamed Location,mice,POINT (1.5233613 42.5095249)
Aparcament comunal Prat de la Creu,mice,POINT (1.5207317 42.5059069)
Aparcament Vinyes i Prat de la Creu,mice,POINT (1.522799 42.507504)
Unnamed Location,mice,POINT (1.5130498 42.4993006)
Aparcament Vinyes,mice,POINT (1.5235987 42.5067805)
Hotel Pyrénées PARKING,mice,POINT (1.5192594 42.5076271)
Unnamed Location,mice,POINT (1.5408996 42.5493517)
Aparcament Comunal Prat de la Creu,mice,POINT (1.5230608 42.5067077)
Parking Saba Cèntric,mice,POINT (1.5308996 42.5087236)
Unnamed Location,mice,POINT (1.5013115 42.4698311)
Unnamed Location,mice,POINT (1.5012845 42.46985)
Unnamed Location,mice,POINT (1.5012578 42.4698687)
Unnamed Location,mice,POINT (1.5014027 42.4699191)
Unnamed Location,mice,POINT (1.5015435 42.4699834)
Unnamed Location,mice,POINT (1.5012914 42.4699903)
Unnamed Location,mice,POINT (1.5013584 42.4700635)
Unnamed Location,mice,POINT (1.5017554 42.4700685)
Unnamed Location,mice,POINT (1.5017245 42.4700742)
Unnamed Location,mice,POINT (1.501691 42.4700804)
Unnamed Location,mice,POINT (1.5014268 42.4700893)
Unnamed Location,mice,POINT (1.5016012 42.4700922)
Unnamed Location,mice,POINT (1.5015086 42.4700972)
Unnamed Location,mice,POINT (1.5013537 42.4698718)
Unnamed Location,mice,POINT (1.4922679 42.4845789)
Unnamed Location,mice,POINT (1.492378 42.4845922)
Unnamed Location,mice,POINT (1.4923442 42.4846818)
Unnamed Location,mice,POINT (1.4925606 42.484698)
Unnamed Location,mice,POINT (1.4925161 42.4847193)
Unnamed Location,mice,POINT (1.4922781 42.484657)
Unnamed Location,mice,POINT (1.5004858 42.4941701)
Unnamed Location,mice,POINT (1.4997352 42.4946154)
Unnamed Location,mice,POINT (1.5004937 42.4943928)
Unnamed Location,mice,POINT (1.4950863 42.493436)
Unnamed Location,mice,POINT (1.4953557 42.4935876)
Unnamed Location,mice,POINT (1.4949617 42.4936425)
Unnamed Location,mice,POINT (1.4952534 42.4937179)
Unnamed Location,mice,POINT (1.4995936 42.495205)
Unnamed Location,mice,POINT (1.4993891 42.4955452)
Unnamed Location,mice,POINT (1.500095 42.494237)
Unnamed Location,mice,POINT (1.4998028 42.4944995)
Unnamed Location,mice,POINT (1.4998508 42.4945162)
